Date,Open,High,Low,Close,Adj Close,Volume
04-12-2023,83.150002,84.599998,82.300003,83.75,83.75,98320541
05-12-2023,84.199997,85.800003,83.5,85,85,84479543
06-12-2023,85.5,86.5,84.849998,85.449997,85.449997,74935960
07-12-2023,85.849998,87.199997,84.5,86.800003,86.800003,52407229
08-12-2023,87.150002,88.099998,84.599998,86.550003,86.550003,64205639
11-12-2023,86.599998,89.349998,86.550003,88.449997,88.449997,58983764
12-12-2023,89,89.849998,87.75,88.150002,88.150002,50356234
13-12-2023,88.599998,89.199997,87.949997,88.75,88.75,45083954
14-12-2023,89.75,90.699997,89.25,89.900002,89.900002,46901038
15-12-2023,92,92,89.599998,91.25,91.25,57382725
18-12-2023,91.199997,92.199997,90.400002,91.349998,91.349998,35997452
19-12-2023,91.449997,92.400002,90.050003,91.400002,91.400002,43084144
20-12-2023,91.949997,92.199997,86.199997,86.849998,86.849998,75353864
21-12-2023,86.050003,90.150002,84.75,89.849998,89.849998,58814452
22-12-2023,90.449997,90.449997,88.300003,89.25,89.25,32589619
26-12-2023,90,90.25,88.25,88.5,88.5,35937581
27-12-2023,89.150002,92.150002,89.050003,91.800003,91.800003,62043155
28-12-2023,92.800003,97.699997,92.800003,95.5,95.5,178967353
29-12-2023,96.400002,96.550003,94.800003,95.75,95.75,65556029
01-01-2024,96.25,99.25,95.75,97.800003,97.800003,55329198
02-01-2024,97.800003,98.900002,96.099998,97,97,50741670
03-01-2024,96,97.949997,94.800003,96.449997,96.449997,73009456
04-01-2024,96.5,97.849998,96.449997,97.400002,97.400002,37426897
05-01-2024,97.900002,97.900002,95.650002,97.25,97.25,42729858
08-01-2024,97.25,97.25,94.800003,95,95,47101702
09-01-2024,96,96.75,94.599998,94.949997,94.949997,33881561
10-01-2024,94.949997,95.199997,93.349998,94.400002,94.400002,54772377
11-01-2024,95.199997,95.949997,94.199997,94.800003,94.800003,28709414
12-01-2024,95.400002,98.599998,94.699997,97.699997,97.699997,78525419
15-01-2024,98.349998,99.599998,97.800003,98.199997,98.199997,46701350
16-01-2024,98.400002,100.099998,96.800003,98.25,98.25,60660256
17-01-2024,97.050003,99.949997,96.400002,97.199997,97.199997,98759165
18-01-2024,97.300003,99,94.300003,98.5,98.5,60733225
19-01-2024,99.400002,102.5,98.900002,102.199997,102.199997,104194911
22-01-2024,102.199997,102.199997,102.199997,102.199997,102.199997,0
23-01-2024,106.650002,106.699997,98.150002,98.75,98.75,83723415
24-01-2024,99.150002,102.650002,97.800003,102.199997,102.199997,65088374
25-01-2024,102.75,106,100.650002,104.5,104.5,111791532
